entity,token_type,subj,property,query_fwd,query_rev,fwd_choices,rev_choices,answer_fwd,answer_rev,foil1,foil2,foil3,orig_entity
bee,rare_token,Andrena,can,<subj> can <answer>,one animal that can <answer> is a <subj>,"['fly', 'gallop', 'swim', 'run']","['Andrena', 'Puli', 'Maine Coon', 'Ninia']",fly,<subj>,run,gallop,swim,bee
bee,rare_token,Andrena,makes_sound,a sound a <subj> makes is <answer>,<answer> is a sound made by a <subj>,"['buzz', 'meow', 'moo', 'bark']","['Andrena', 'Hampshire', 'Puli', 'Ninia']",buzz,<subj>,bark,moo,meow,bee
bee,rare_token,Andrena,genus,a <subj> is a <answer>,one type of <answer> is a <subj>,"['insect', 'mammal', 'reptile', 'aves']","['Andrena', 'Hampshire', 'sparrow', 'Maine Coon']",insect,<subj>,mammal,reptile,aves,bee
bee,rare_token,Andrena,has,<subj> have <answer>,<answer> are found on <subj>,"['wings', 'four legs', 'fins']","['Andrena', 'Siamese', 'trout', 'Holstein']",wings,<subj>,fins,four legs,,bee
bee,rare_token,Andrena,produces,a <subj> makes <answer>,<answer> is made by <subj>,"['honey', 'caviar', 'webs', 'milk']","['Andrena', 'Labrador', 'Siamese', 'Vaynol']",honey,<subj>,webs,caviar,milk,bee
bee,rare_token,Andrena,builds,a <subj> makes a <answer>,<answer> is made by <subj>,"['hive', 'nests', 'web', 'hole']","['Andrena', 'Maine Coon', 'sparrow', 'grouper']",hive,<subj>,web,hole,nests,bee
bee,rare_token,Andrena,leg_count,<subj> are animals that have <answer>,<answer> can be found on <subj>,"['six legs', 'no legs', 'two legs', 'four legs']","['Andrena', 'trout', 'cobra', 'Puli']",six legs,<subj>,two legs,no legs,four legs,bee
bee,rare_token,Andrena,like_to_interact,<subj> are something people like to <answer>,people like to <answer> <subj>,"['keep', 'ride', 'pet', 'eat']","['Andrena', 'Ninia', 'Vaynol', 'Owlet']",keep,<subj>,eat,ride,pet,bee
bee,rare_token,Andrena,moves,<subj> move by <answer>,<answer> is the movement of <subj>,"['flying', 'galloping', 'slithering', 'hopping']","['Andrena', 'Holstein', 'Hampshire', 'Vaynol']",flying,<subj>,galloping,slithering,hopping,bee
fish,typical_token,trout,can,<subj> can <answer>,one animal that can <answer> is a <subj>,"['swim', 'fly', 'gallop', 'run']","['trout', 'Vaynol', 'Puli', 'Ninia']",swim,<subj>,run,gallop,fly,fish
fish,typical_token,trout,is_wild,most <subj> are <answer>,one animal that is typically <answer> is a <subj>,"['wild', 'domesticated']","['trout', 'Owlet', 'Vaynol', 'Tamworth']",wild,<subj>,domesticated,,,fish
fish,typical_token,trout,has,<subj> have <answer>,one animal that has <answer> is <subj>,"['scales', 'feathers', 'fur']","['trout', 'Owlet', 'Holstein', 'Ninia']",scales,<subj>,fur,feathers,,fish
fish,typical_token,trout,breathes,<subj> breathe <answer>,one animal that can breathe <answer> is a <subj>,"['underwater', 'dirt', 'air']","['trout', 'Maine Coon', 'Puli', 'Ninia']",underwater,<subj>,air,dirt,,fish
fish,typical_token,trout,has,<subj> have <answer>,<answer> are found on <subj>,"['fins', 'wings', 'tentacles', 'four legs']","['trout', 'Siamese', 'sparrow', 'Ninia']",fins,<subj>,wings,four legs,tentacles,fish
fish,typical_token,trout,like_to_interact,<subj> are something people like to <answer>,people like to <answer> <subj>,"['eat', 'ride', 'pet']","['trout', 'Ninia', 'cobra', 'Puli']",eat,<subj>,eat,ride,pet,fish
fish,typical_token,trout,leg_count,<subj> are animals that have <answer>,<answer> can be found on <subj>,"['no legs', 'six legs', 'four legs', 'two legs']","['trout', 'Ninia', 'Hampshire', 'cobra']",no legs,<subj>,two legs,six legs,four legs,fish
fish,typical_token,trout,live_in,<subj> live in <answer>,<answer> is the home of <subj>,"['water', 'trees', 'nests', 'caves']","['trout', 'Maine Coon', 'Andrena', 'sparrow']",water,<subj>,caves,trees,nests,fish
fish,typical_token,trout,moves,<subj> move by <answer>,<answer> is the movement of <subj>,"['swimming', 'flying', 'walking', 'galloping']","['trout', 'Hampshire', 'Holstein', 'sparrow']",swimming,<subj>,galloping,flying,walking,fish
fish,typical_token,trout,give_birth,<subj> have offspring by <answer>,<answer> is how offspring are made by <subj>,"['laying eggs', 'live birth', 'budding', 'fragmentation']","['trout', 'sparrow', 'bumblebee', 'Labrador']",laying eggs,<subj>,live birth,budding,fragmentation,fish
fish,typical_token,trout,produces,some <subj> make <answer>,<answer> is made by <subj>,"['caviar', 'honey', 'webs', 'milk']","['trout', 'Maine Coon', 'Andrena', 'bumblebee']",caviar,<subj>,webs,milk,honey,fish
fish,rare_token,grouper,can,<subj> can <answer>,one animal that can <answer> is a <subj>,"['swim', 'fly', 'gallop', 'run']","['grouper', 'sparrow', 'Ninia', 'Tamworth']",swim,<subj>,run,gallop,fly,fish
fish,rare_token,grouper,is_wild,most <subj> are <answer>,one animal that is typically <answer> is a <subj>,"['wild', 'domesticated']","['grouper', 'Labrador', 'Tamworth', 'Maine Coon']",wild,<subj>,domesticated,,,fish
fish,rare_token,grouper,has,<subj> have <answer>,one animal that has <answer> is <subj>,"['scales', 'feathers', 'fur']","['grouper', 'bumblebee', 'Vaynol', 'Ninia']",scales,<subj>,fur,feathers,,fish
fish,rare_token,grouper,breathes,<subj> breathe <answer>,one animal that can breathe <answer> is a <subj>,"['underwater', 'dirt', 'air']","['grouper', 'Holstein', 'sparrow', 'Maine Coon']",underwater,<subj>,air,dirt,,fish
fish,rare_token,grouper,has,<subj> have <answer>,<answer> are found on <subj>,"['fins', 'wings', 'tentacles', 'four legs']","['grouper', 'Vaynol', 'sparrow', 'Labrador']",fins,<subj>,wings,four legs,tentacles,fish
fish,rare_token,grouper,like_to_interact,<subj> are something people like to <answer>,people like to <answer> <subj>,"['eat', 'ride', 'pet']","['grouper', 'Tamworth', 'Puli', 'Vaynol']",eat,<subj>,eat,ride,pet,fish
fish,rare_token,grouper,leg_count,<subj> are animals that have <answer>,<answer> can be found on <subj>,"['no legs', 'six legs', 'four legs', 'two legs']","['grouper', 'Hampshire', 'Owlet', 'Ninia']",no legs,<subj>,two legs,six legs,four legs,fish
fish,rare_token,grouper,live_in,<subj> live in <answer>,<answer> is the home of <subj>,"['water', 'trees', 'nests', 'caves']","['grouper', 'cobra', 'Siamese', 'Puli']",water,<subj>,caves,trees,nests,fish
fish,rare_token,grouper,moves,<subj> move by <answer>,<answer> is the movement of <subj>,"['swimming', 'flying', 'walking', 'galloping']","['grouper', 'Labrador', 'Puli', 'Vaynol']",swimming,<subj>,galloping,flying,walking,fish
fish,rare_token,grouper,give_birth,<subj> have offspring by <answer>,<answer> is how offspring are made by <subj>,"['laying eggs', 'live birth', 'budding', 'fragmentation']","['grouper', 'Vaynol', 'Ninia', 'cobra']",laying eggs,<subj>,live birth,budding,fragmentation,fish
fish,rare_token,grouper,produces,some <subj> make <answer>,<answer> is made by <subj>,"['caviar', 'honey', 'webs', 'milk']","['grouper', 'Owlet', 'Puli', 'bumblebee']",caviar,<subj>,webs,milk,honey,fish
snake,typical_token,cobra,has,<subj> have <answer>,one animal that has <answer> is <subj>,"['scales', 'feathers', 'fur']","['cobra', 'Vaynol', 'grouper', 'trout']",scales,<subj>,fur,feathers,,snake
snake,typical_token,cobra,is_wild,most <subj> are <answer>,one animal that is typically <answer> is a <subj>,"['wild', 'domesticated']","['cobra', 'Holstein', 'Andrena', 'Tamworth']",wild,<subj>,domesticated,,,snake
snake,typical_token,cobra,makes_sound,a sound a <subj> makes is <answer>,<answer> is a sound made by a <subj>,"['hiss', 'moo', 'bark', 'chirp']","['cobra', 'Holstein', 'sparrow', 'Siamese']",hiss,<subj>,bark,moo,chirp,snake
snake,typical_token,cobra,leg_count,<subj> are animals that have <answer>,<answer> can be found on <subj>,"['no legs', 'six legs', 'four legs', 'two legs']","['cobra', 'Puli', 'Owlet', 'Andrena']",no legs,<subj>,two legs,six legs,four legs,snake
snake,typical_token,cobra,moves,<subj> move by <answer>,<answer> is the movement of <subj>,"['slithering', 'flying', 'walking', 'galloping']","['cobra', 'Puli', 'bumblebee', 'Holstein']",slithering,<subj>,galloping,flying,walking,snake
snake,typical_token,cobra,give_birth,<subj> have offspring by <answer>,<answer> is how offspring are made by <subj>,"['laying eggs', 'live birth', 'budding', 'fragmentation']","['cobra', 'Puli', 'bumblebee', 'Andrena']",laying eggs,<subj>,live birth,budding,fragmentation,snake
snake,typical_token,cobra,like_to_interact,<subj> are something people like to <answer>,people like to <answer> <subj>,"['avoid', 'ride', 'pet']","['cobra', 'trout', 'Maine Coon', 'Labrador']",avoid,<subj>,pet,ride,,snake
snake,rare_token,Ninia,has,<subj> have <answer>,one animal that has <answer> is <subj>,"['scales', 'feathers', 'fur']","['Ninia', 'Vaynol', 'Holstein', 'Puli']",scales,<subj>,fur,feathers,,snake
snake,rare_token,Ninia,is_wild,most <subj> are <answer>,one animal that is typically <answer> is a <subj>,"['wild', 'domesticated']","['Ninia', 'bumblebee', 'Vaynol', 'grouper']",wild,<subj>,domesticated,,,snake
snake,rare_token,Ninia,makes_sound,a sound a <subj> makes is <answer>,<answer> is a sound made by a <subj>,"['hiss', 'moo', 'bark', 'chirp']","['Ninia', 'Owlet', 'Vaynol', 'Holstein']",hiss,<subj>,bark,moo,chirp,snake
snake,rare_token,Ninia,leg_count,<subj> are animals that have <answer>,<answer> can be found on <subj>,"['no legs', 'six legs', 'four legs', 'two legs']","['Ninia', 'trout', 'Owlet', 'sparrow']",no legs,<subj>,two legs,six legs,four legs,snake
snake,rare_token,Ninia,moves,<subj> move by <answer>,<answer> is the movement of <subj>,"['slithering', 'flying', 'walking', 'galloping']","['Ninia', 'Labrador', 'Owlet', 'Tamworth']",slithering,<subj>,galloping,flying,walking,snake
snake,rare_token,Ninia,give_birth,<subj> have offspring by <answer>,<answer> is how offspring are made by <subj>,"['laying eggs', 'live birth', 'budding', 'fragmentation']","['Ninia', 'Maine Coon', 'grouper', 'Hampshire']",laying eggs,<subj>,live birth,budding,fragmentation,snake
snake,rare_token,Ninia,like_to_interact,<subj> are something people like to <answer>,people like to <answer> <subj>,"['avoid', 'ride', 'pet']","['Ninia', 'Andrena', 'sparrow', 'trout']",avoid,<subj>,pet,ride,,snake
